1	1	76	-84575725	33554573	14.34
1	2	77	-84569612	33554573	0
1	3	78	-84563499	33554573	0
1	4	79	-84557387	33554573	0
1	5	80	-84551274	33554573	51.66
1	6	81	-84545161	33554573	50.2
1	7	82	-84539049	33554573	49.4
1	8	83	-84532936	33554573	49.65
1	9	84	-84526823	33554573	0
1	10	85	-84520710	33554573	0
1	11	86	-84514598	33554573	0
1	12	87	-84508485	33554573	0
1	13	88	-84502372	33554573	0
1	14	89	-84496260	33554573	0
1	15	90	-84490147	33554573	0
1	16	91	-84484034	33554573	0
1	17	92	-84477921	33554573	43.79
1	18	93	-84471809	33554573	41.71
1	19	94	-84465696	33554573	40.28
1	20	95	-84459583	33554573	42.17
1	21	96	-84453471	33554573	44.26
1	22	97	-84447358	33554573	46.37
1	23	98	-84441245	33554573	48.47
1	24	99	-84435133	33554573	38.37
1	25	100	-84429020	33554573	36.26
1	26	101	-84422907	33554573	34.15
1	27	102	-84416794	33554573	32.06
1	28	103	-84410682	33554573	0
1	29	104	-84404569	33554573	0
1	30	105	-84398456	33554573	0
1	31	106	-84392344	33554573	0
1	32	107	-84386231	33554573	36.09
1	33	108	-84380118	33554573	33.99
1	34	109	-84374005	33554573	31.93
1	35	110	-84367893	33554573	31.52
1	36	111	-84361780	33554573	33.55
1	37	112	-84355667	33554573	29.58
1	38	113	-84349555	33554573	27.61
1	39	114	-84343442	33554573	28.86
1	40	115	-84337329	33554573	28.68
1	41	116	-84331217	33554573	25.37
1	42	117	-84325104	33554573	25.07
1	43	118	-84318991	33554573	25.85
1	44	119	-84312878	33554573	27.47
1	45	120	-84306766	33554573	27.9
1	46	121	-84300653	33554573	31.53
1	47	122	-84294540	33554573	29.56
1	48	123	-84288428	33554573	31.47
1	49	124	-84282315	33554573	0
1	50	125	-84276202	33554573	0
1	51	126	-84270089	33554573	0
1	52	127	-84263977	33554573	0
1	53	128	-84257864	33554573	46.37
1	54	129	-84251751	33554573	48.48
1	55	130	-84245639	33554573	57.83
1	56	131	-84239526	33554573	55.73
1	57	132	-84233413	33554573	54.63
1	58	133	-84227301	33554573	75.9
1	59	134	-84221188	33554573	78.01
1	60	135	-84215075	33554573	74.57
1	61	136	-84208962	33554573	71.79
1	62	137	-84202850	33554573	72.8
1	63	138	-84196737	33554573	74.84
1	64	139	-84190624	33554573	0
1	65	140	-84184512	33554573	0
1	66	141	-84178399	33554573	0
1	67	142	-84172286	33554573	0
1	68	143	-84166173	33554573	0
1	69	144	-84160061	33554573	0
1	70	145	-84153948	33554573	0
1	71	146	-84147835	33554573	0
1	72	147	-84141723	33554573	0
1	73	148	-84135610	33554573	0
1	74	149	-84129497	33554573	0
1	75	150	-84123384	33554573	0
2	1	151	-84575725	33560788	0
2	2	152	-84569612	33560788	0
2	3	153	-84563499	33560788	0
2	4	154	-84557387	33560788	47.95
2	5	155	-84551274	33560788	46.76
2	6	156	-84545161	33560788	48.48
2	7	157	-84539049	33560788	46.9
2	8	158	-84532936	33560788	0
2	9	159	-84526823	33560788	0
2	10	160	-84520710	33560788	0
2	11	161	-84514598	33560788	52.64
2	12	162	-84508485	33560788	0
2	13	163	-84502372	33560788	0
2	14	164	-84496260	33560788	0
2	15	165	-84490147	33560788	0
2	16	166	-84484034	33560788	0
2	17	167	-84477921	33560788	44.78
2	18	168	-84471809	33560788	43.34
2	19	169	-84465696	33560788	42.81
2	20	170	-84459583	33560788	43.61
2	21	171	-84453471	33560788	45.17
2	22	172	-84447358	33560788	47.01
2	23	173	-84441245	33560788	48.97
2	24	174	-84435133	33560788	38.75
2	25	175	-84429020	33560788	36.78
2	26	176	-84422907	33560788	34.98
2	27	177	-84416794	33560788	33.69
2	28	178	-84410682	33560788	30.5
2	29	179	-84404569	33560788	31.78
2	30	180	-84398456	33560788	33.59
2	31	181	-84392344	33560788	35.55
2	32	182	-84386231	33560788	36.85
2	33	183	-84380118	33560788	35.12
2	34	184	-84374005	33560788	33.86
2	35	185	-84367893	33560788	33.72
2	36	186	-84361780	33560788	34.8
2	37	187	-84355667	33560788	30.92
2	38	188	-84349555	33560788	29.9
2	39	189	-84343442	33560788	30.08
2	40	190	-84337329	33560788	28.25
2	41	191	-84331217	33560788	27.5
2	42	192	-84325104	33560788	23.83
2	43	193	-84318991	33560788	23.63
2	44	194	-84312878	33560788	25.98
2	45	195	-84306766	33560788	26.87
2	46	196	-84300653	33560788	32.59
2	47	197	-84294540	33560788	31.78
2	48	198	-84288428	33560788	32.55
2	49	199	-84282315	33560788	0
2	50	200	-84276202	33560788	0
2	51	201	-84270089	33560788	0
2	52	202	-84263977	33560788	0
2	53	203	-84257864	33560788	48.56
2	54	204	-84251751	33560788	49.59
2	55	205	-84245639	33560788	58.5
2	56	206	-84239526	33560788	56.94
2	57	207	-84233413	33560788	56.48
2	58	208	-84227301	33560788	78.27
2	59	209	-84221188	33560788	79.14
2	60	210	-84215075	33560788	74.14
2	61	211	-84208962	33560788	72.91
2	62	212	-84202850	33560788	73.51
2	63	213	-84196737	33560788	75.22
2	64	214	-84190624	33560788	77.18
2	65	215	-84184512	33560788	0
2	66	216	-84178399	33560788	0
2	67	217	-84172286	33560788	0
2	68	218	-84166173	33560788	0
2	69	219	-84160061	33560788	0
2	70	220	-84153948	33560788	0
2	71	221	-84147835	33560788	0
2	72	222	-84141723	33560788	0
2	73	223	-84135610	33560788	0
2	74	224	-84129497	33560788	0
2	75	225	-84123384	33560788	0
3	1	226	-84575725	33567003	0
3	2	227	-84569612	33567003	0
3	3	228	-84563499	33567003	0
